# Tiempo [s],Tensión [V],Desplazamiento [mm]
1.122534999208170348e+01,8.018446208012845133e+00,8.943548844494280559e+00
1.125586641361151585e+01,8.018446208012845133e+00,8.928134004773884413e+00
1.128638283514132823e+01,8.018446208012845133e+00,8.915277456622181518e+00
1.131689925667114061e+01,8.018446208012845133e+00,8.900461277810215677e+00
1.134741567820095298e+01,8.018446208012845133e+00,8.872578501976716936e+00
1.137793209973076536e+01,8.018446208012845133e+00,8.844901618796894738e+00
1.140844852126057773e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.143896494279038833e+01,8.018446208012845133e+00,8.816998186219420219e+00
1.146948136432020249e+01,8.018446208012845133e+00,8.789126736006583229e+00
1.149999778585001309e+01,8.018446208012845133e+00,8.761436010681331155e+00
1.153051420737982724e+01,8.018446208012845133e+00,8.733748501311252355e+00
1.156103062890963784e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.159154705043945199e+01,8.018446208012845133e+00,8.705866470778937938e+00
1.162206347196926259e+01,8.018446208012845133e+00,8.677593655588159649e+00
1.165257989349907497e+01,8.018446208012845133e+00,8.662798256597747937e+00
1.168309631502888735e+01,8.018446208012845133e+00,8.649504156929873844e+00
1.171361273655869972e+01,8.018446208012845133e+00,8.634526868725650672e+00
1.174412915808851210e+01,8.018446208012845133e+00,8.634526868725650672e+00
1.177464557961832448e+01,8.018446208012845133e+00,8.634526868725650672e+00
1.180516200114813685e+01,8.018446208012845133e+00,8.634526868725650672e+00
1.183567842267794923e+01,8.018446208012845133e+00,8.623175829250779856e+00
1.186619484420776161e+01,8.018446208012845133e+00,8.618003224619602776e+00
1.189671126573757398e+01,8.018446208012845133e+00,8.634526868725650672e+00
1.192722768726738636e+01,8.018446208012845133e+00,8.634526868725650672e+00
1.195774410879719696e+01,8.018446208012845133e+00,8.634526868725650672e+00
1.198826053032701111e+01,8.018446208012845133e+00,8.645505480667075915e+00
1.201877695185682171e+01,8.018446208012845133e+00,8.662798256597747937e+00
1.204929337338663586e+01,8.018446208012845133e+00,8.662798256597747937e+00
1.207980979491644646e+01,8.018446208012845133e+00,8.673291167602076968e+00
1.211032621644626062e+01,8.018446208012845133e+00,8.691462302634736403e+00
1.214084263797607122e+01,8.018446208012845133e+00,8.701675828877826646e+00
1.217135905950588359e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.220187548103569597e+01,8.018446208012845133e+00,8.729426137499684657e+00
1.223239190256550835e+01,8.018446208012845133e+00,8.757052768506220275e+00
1.226290832409532072e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.229342474562513310e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.232394116715494548e+01,8.018446208012845133e+00,8.784183688082560337e+00
1.235445758868475785e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.238497401021457023e+01,8.018446208012845133e+00,8.811370951896240200e+00
1.241549043174438260e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.244600685327419498e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.247652327480400558e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.250703969633381973e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.253755611786363033e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.256807253939344449e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.259858896092325509e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.262910538245306924e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.265962180398287984e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.269013822551269222e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.272065464704250459e+01,8.018446208012845133e+00,8.831641267500558001e+00
1.275117106857231697e+01,8.018446208012845133e+00,8.825581900672872848e+00
1.278168749010212935e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.281220391163194172e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.284272033316175410e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.287323675469156647e+01,8.018446208012845133e+00,8.797771144333115245e+00
1.290375317622137885e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.293426959775119123e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.296478601928100360e+01,8.018446208012845133e+00,8.771450908906599508e+00
1.299530244081081420e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.302581886234062836e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.305633528387044073e+01,8.018446208012845133e+00,8.743952698985413718e+00
1.308685170540025133e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.311736812693006371e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.314788454845987609e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.317840096998968846e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.320891739151950084e+01,8.018446208012845133e+00,8.716798285462031615e+00
1.323943381304931322e+01,8.018446208012845133e+00,8.691462302634736403e+00
1.326995023457912559e+01,8.018446208012845133e+00,8.691462302634736403e+00
1.330046665610893797e+01,8.018446208012845133e+00,8.691462302634736403e+00
1.333098307763875034e+01,8.018446208012845133e+00,8.691462302634736403e+00
1.336149949916856272e+01,8.018446208012845133e+00,8.691462302634736403e+00
1.339201592069837510e+01,8.018446208012845133e+00,8.693595898592985094e+00
1.342253234222818747e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.345304876375799985e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.348356518528781223e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.351408160681762460e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.354459802834743698e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.357511444987724936e+01,8.018446208012845133e+00,8.719928272398368208e+00
1.360563087140705996e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.363614729293687233e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.366666371446668471e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.369718013599649709e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.372769655752630946e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.375821297905612184e+01,8.018446208012845133e+00,8.774924692240739788e+00
1.378872940058593421e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.381924582211574659e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.384976224364555897e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.388027866517537134e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.391079508670518372e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.394131150823499610e+01,8.018446208012845133e+00,8.801673615258476246e+00
1.397182792976480847e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.400234435129462085e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.403286077282443323e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.406337719435424560e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.409389361588405798e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.412441003741386858e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.415492645894368096e+01,8.018446208012845133e+00,8.803369879628458960e+00
1.418544288047349333e+01,8.018446208012845133e+00,8.779142227152833655e+00
1.421595930200330571e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.424647572353311809e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.427699214506293046e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.430750856659274284e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.433802498812255521e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.436854140965236759e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.439905783118217997e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.442957425271199234e+01,8.018446208012845133e+00,8.752409102929970430e+00
1.446009067424180472e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.449060709577161710e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.452112351730142947e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.455163993883124185e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.458215636036105423e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.461267278189086660e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.464318920342067720e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.467370562495048958e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.470422204648030196e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.473473846801011433e+01,8.018446208012845133e+00,8.726651006964489810e+00
1.476525488953992671e+01,8.018446208012845133e+00,8.719733690506835444e+00
1.479577131106973908e+01,8.018446208012845133e+00,8.719733690506835444e+00
